Start,Loc,Duration,dtime,Status,Calendar
2015-01-14 09:30:00,UPTOWN,3.5,DAY,,Conference Room
2015-01-14 13:00:00,GALLERY,2.0,DAY,,Conference Room
2015-01-14 13:00:00,GALLERY,2.0,DAY,,Conference Room
2015-01-14 13:00:00,GALLERY,1.5,DAY,,Conference Room
2015-01-14 13:00:00,GALLERY,1.5,DAY,,Conference Room
2015-01-14 13:15:00,UPTOWN,3.0,DAY,,Conference Room
2015-01-14 14:15:00,EAST_OAK,1.5,DAY,,Conference Room
2015-01-14 15:00:00,DOWNTOWN,1.0,DAY,,Conference Room
2015-01-14 17:30:00,GALLERY,1.75,EVENING,,Conference Room
2015-01-14 18:00:00,BROADWAY,2.5,EVENING,,HUB Oakland Events
2015-01-15 08:30:00,MERIDIAN,10.0,DAY,,Conference Room
2015-01-15 09:00:00,UPTOWN,7.0,DAY,,Conference Room
2015-01-15 09:00:00,DOWNTOWN,7.0,DAY,,Conference Room
2015-01-15 09:00:00,UPTOWN,7.0,DAY,,Conference Room
2015-01-15 09:00:00,DOWNTOWN,7.0,DAY,,Conference Room
2015-01-15 10:00:00,GALLERY,1.0,DAY,,Conference Room
2015-01-15 10:00:00,GALLERY,2.75,DAY,,Conference Room
2015-01-15 13:00:00,GALLERY,1.5,DAY,,Conference Room
2015-01-15 16:00:00,GALLERY,1.5,DAY,,HUB Oakland Events
2015-01-15 16:00:00,GALLERY,1.5,DAY,,HUB Oakland Events
2015-01-15 16:00:00,GALLERY,1.5,DAY,,Conference Room
2015-01-15 16:00:00,GALLERY,1.5,DAY,,Conference Room
2015-01-15 18:30:00,BROADWAY,2.0,EVENING,,HUB Oakland Events
2015-01-15 18:30:00,GALLERY,2.0,EVENING,,HUB Oakland Events
2015-01-15 18:30:00,ATRIUM,2.0,EVENING,,HUB Oakland Events
2015-01-15 18:30:00,JINGLETOWN,2.0,EVENING,,HUB Oakland Events
2015-01-15 18:30:00,UPTOWN,2.0,EVENING,,HUB Oakland Events
2015-01-16 08:00:00,MERIDIAN,10.0,DAY,,Conference Room
2015-01-16 09:00:00,DOWNTOWN,9.0,DAY,,Conference Room
2015-01-16 11:00:00,UPTOWN,7.0,DAY,,Conference Room
2015-01-16 12:30:00,KITCHEN,1.0,DAY,,HUB Oakland Events
2015-01-16 13:00:00,GALLERY,1.5,DAY,,Conference Room
2015-01-16 15:00:00,GALLERY,3.0,DAY,,Conference Room
2015-01-16 19:00:00,GALLERY,2.0,EVENING,,HUB Oakland Events
2015-01-16 19:00:00,ATRIUM,2.0,EVENING,,HUB Oakland Events
2015-01-16 19:30:00,BROADWAY,3.5,EVENING,,HUB Oakland Events
2015-01-17 09:00:00,ATRIUM,7.5,DAY,,HUB Oakland Events
2015-01-17 09:00:00,MERIDIAN,7.5,DAY,,HUB Oakland Events
2015-01-17 09:00:00,ATRIUM,8.5,DAY,,Conference Room
2015-01-17 09:00:00,MERIDIAN,8.5,DAY,,Conference Room
2015-01-17 17:00:00,BROADWAY,7.0,DAY,CLOSED,Conference Room
2015-01-17 17:00:00,GALLERY,7.0,DAY,CLOSED,Conference Room
2015-01-17 17:00:00,DOWNTOWN,7.0,DAY,CLOSED,Conference Room
2015-01-17 19:00:00,BROADWAY,4.0,EVENING,,HUB Oakland Events
2015-01-17 19:00:00,GALLERY,4.0,EVENING,,HUB Oakland Events
2015-01-17 19:00:00,DOWNTOWN,4.0,EVENING,,HUB Oakland Events
2015-01-18 09:00:00,DOWNTOWN,4.0,DAY,,Conference Room
2015-01-18 14:00:00,GALLERY,0.75,DAY,,Conference Room
2015-01-19 10:00:00,UPTOWN,2.0,DAY,,Conference Room
2015-01-19 13:00:00,EAST_OAK,2.0,DAY,,Conference Room
2015-01-19 15:00:00,MEDITATION,0.5,DAY,,HUB Oakland Events
2015-01-19 17:30:00,GALLERY,1.5,EVENING,,HUB Oakland Events
2015-01-20 08:30:00,MERIDIAN,1.5,DAY,,Conference Room
2015-01-20 10:00:00,EAST_OAK,3.0,DAY,,Conference Room
2015-01-20 10:00:00,MERIDIAN,3.0,DAY,,Conference Room
2015-01-20 10:00:00,EAST_OAK,3.0,DAY,,Conference Room
2015-01-20 10:00:00,MERIDIAN,3.0,DAY,,Conference Room
2015-01-20 13:00:00,MERIDIAN,3.0,DAY,,Conference Room
2015-01-20 13:00:00,DOWNTOWN,3.0,DAY,,Conference Room
2015-01-20 13:00:00,GALLERY,3.0,DAY,,Conference Room
2015-01-20 13:00:00,MERIDIAN,4.0,DAY,,Conference Room
2015-01-20 13:00:00,DOWNTOWN,4.0,DAY,,Conference Room
2015-01-20 13:00:00,GALLERY,4.0,DAY,,Conference Room
2015-01-20 13:00:00,MERIDIAN,1.5,DAY,,Conference Room
2015-01-20 13:00:00,DOWNTOWN,1.5,DAY,,Conference Room
2015-01-20 13:00:00,GALLERY,1.5,DAY,,Conference Room
2015-01-20 16:00:00,GALLERY,1.5,DAY,,Conference Room
2015-01-20 17:30:00,DOWNTOWN,1.0,EVENING,,Conference Room
2015-01-20 17:30:00,MERIDIAN,1.0,EVENING,,Conference Room
2015-01-20 17:30:00,DOWNTOWN,4.0,EVENING,,Conference Room
2015-01-20 17:30:00,MERIDIAN,4.0,EVENING,,Conference Room
2015-01-21 09:30:00,UPTOWN,3.5,DAY,,Conference Room
2015-01-21 10:00:00,EAST_OAK,0.75,DAY,,Conference Room
